Group,Name,Type,Description
"Belief, decision-making and behavioral",Overconfidence effect,Egocentric bias,"Excessive confidence in one's own answers to questions. For example, for certain types of questions, answers that people rate as ""99% certain"" turn out to be wrong 40% of the time."
"Belief, decision-making and behavioral",Pareidolia,Apophenia,"A vague and random stimulus (often an image or sound) is perceived as significant, e.g., seeing images of animals or faces in clouds, the man in the moon, and hearing non-existent hidden messages on records played in reverse."
"Belief, decision-making and behavioral",Pessimism bias,,"The tendency for some people, especially those suffering from depression, to overestimate the likelihood of negative things happening to them."
"Belief, decision-making and behavioral",Plan continuation bias,Logical fallacy,Failure to recognize that the original plan of action is no longer appropriate for a changing situation or for a situation that is different than anticipated.
"Belief, decision-making and behavioral",Planning fallacy,Egocentric bias,The tendency to underestimate one's own task-completion times.
"Belief, decision-making and behavioral",Present bias,,The tendency of people to give stronger weight to payoffs that are closer to the present time when considering trade-offs between two future moments.
"Belief, decision-making and behavioral",Plant blindness,,The tendency to ignore plants in their environment and a failure to recognize and appreciate the utility of plants to life on earth.
"Belief, decision-making and behavioral",Prevention bias,,"When investing money to protect against risks, decision makers perceive that a dollar spent on prevention buys more security than a dollar spent on timely detection and response, even when investing in either option is equally effective."
"Belief, decision-making and behavioral",Probability matching,,Sub-optimal matching of the probability of choices with the probability of reward in a stochastic context.
"Belief, decision-making and behavioral",Pro-innovation bias,,"The tendency to have an excessive optimism towards an invention or innovation's usefulness throughout society, while often failing to identify its limitations and weaknesses."
"Belief, decision-making and behavioral",Projection bias,,"The tendency to overestimate how much our future selves share one's current preferences, thoughts and values, thus leading to sub-optimal choices."
"Belief, decision-making and behavioral",Proportionality bias,,"Our innate tendency to assume that big events have big causes, may also explain our tendency to accept conspiracy theories."
"Belief, decision-making and behavioral",Pseudocertainty effect,Prospect theory,"The tendency to make risk-averse choices if the expected outcome is positive, but make risk-seeking choices to avoid negative outcomes."
"Belief, decision-making and behavioral",Recency illusion,,"The illusion that a phenomenon one has noticed only recently is itself recent. Often used to refer to linguistic phenomena; the illusion that a word or language usage that one has noticed only recently is an innovation when it is, in fact, long-established (see also frequency illusion). Also Recency bias is a cognitive bias that favors recent events over historic ones. A memory bias, recency bias gives ""greater importance to the most recent event"",[95] such as the final lawyer's closing argument a jury hears before being dismissed to deliberate."
"Belief, decision-making and behavioral",Systematic bias,,Judgement that arises when targets of differentiating judgement become subject to effects of regression that are not equivalent.
"Belief, decision-making and behavioral",Restraint bias,Egocentric bias,The tendency to overestimate one's ability to show restraint in the face of temptation.
"Belief, decision-making and behavioral",Rhyme as reason effect,Truthiness,Rhyming statements are perceived as more truthful.
"Belief, decision-making and behavioral",Risk compensation / Peltzman effect,,The tendency to take greater risks when perceived safety increases.
"Belief, decision-making and behavioral",Salience bias,Availability bias,"The tendency to focus on items that are more prominent or emotionally striking and ignore those that are unremarkable, even though this difference is often irrelevant by objective standards."
"Belief, decision-making and behavioral",Scope neglect or,Extension neglect,"The tendency to be insensitive to the size of a problem when evaluating it. For example, being willing to pay as much to save 2,000 children or 20,000 children"
"Belief, decision-making and behavioral",scope insensitivity,,
"Belief, decision-making and behavioral",Selection bias,Availability bias,"Happens when the members of a statistical sample are not chosen completely at random, which leads to the sample not being representative of the population."
"Belief, decision-making and behavioral",Selective perception,Confirmation bias,The tendency for expectations to affect perception.
"Belief, decision-making and behavioral",Semmelweis reflex,Confirmation bias,The tendency to reject new evidence that contradicts a paradigm.
"Belief, decision-making and behavioral",Status quo bias,Prospect theory,The tendency to like things to stay relatively the same
"Belief, decision-making and behavioral",Stereotyping,False priors,Expecting a member of a group to have certain characteristics without having actual information about that individual.
"Belief, decision-making and behavioral",Subadditivity effect,Logical fallacy,The tendency to judge the probability of the whole to be less than the probabilities of the parts.
"Belief, decision-making and behavioral",Subjective validation,Truthiness,Perception that something is true if a subject's belief demands it to be true. Also assigns perceived connections between coincidences.
"Belief, decision-making and behavioral",Surrogation,,"Losing sight of the strategic construct that a measure is intended to represent, and subsequently acting as though the measure is the construct of interest."
"Belief, decision-making and behavioral",Survivorship bias,Availability bias,"Concentrating on the people or things that ""survived"" some process and inadvertently overlooking those that didn't because of their lack of visibility."
"Belief, decision-making and behavioral",System justification,Prospect theory,"The tendency to defend and bolster the status quo. Existing social, economic, and political arrangements tend to be preferred, and alternatives disparaged, sometimes even at the expense of individual and collective self-interest. (See also status quo bias.)"
"Belief, decision-making and behavioral",Time-saving bias,Logical fallacy,Underestimations of the time that could be saved (or lost) when increasing (or decreasing) from a relatively low speed and overestimations of the time that could be saved (or lost) when increasing (or decreasing) from a relatively high speed.
"Belief, decision-making and behavioral",Parkinson's law of triviality,,"The tendency to give disproportionate weight to trivial issues. Also known as bikeshedding, this bias explains why an organization may avoid specialized or complex subjects, such as the design of a nuclear reactor, and instead focus on something easy to grasp or rewarding to the average participant, such as the design of an adjacent bike shed.[100]"
"Belief, decision-making and behavioral",Unconscious bias,,"Also known as implicit biases, are the underlying attitudes and stereotypes that people unconsciously attribute to another person or group of people that affect how they understand and engage with them. Many researchers suggest that unconscious bias occurs automatically as the brain makes quick judgments based on past experiences and background.[101]"
"Belief, decision-making and behavioral",Unit bias,,"The standard suggested amount of consumption (e.g., food serving size) is perceived to be appropriate, and a person would consume it all even if it is too much for this particular person."
"Belief, decision-making and behavioral",Weber–Fechner law,,Difficulty in comparing small differences in large quantities.
"Belief, decision-making and behavioral",Well travelled road effect,Availability bias,Underestimation of the duration taken to traverse oft-travelled routes and overestimation of the duration taken to traverse less familiar routes.
"Belief, decision-making and behavioral",Women are wonderful effect,,A tendency to associate more positive attributes with women than with men.
"Belief, decision-making and behavioral",Zero-risk bias,Extension neglect,Preference for reducing a small risk to zero over a greater reduction in a larger risk.
"Belief, decision-making and behavioral",Zero-sum bias,Logical fallacy,"A bias whereby a situation is incorrectly perceived to be like a zero-sum game (i.e., one person gains at the expense of another)."
Social,Actor-observer bias,Attribution bias,"The tendency for explanations of other individuals' behaviors to overemphasize the influence of their personality and underemphasize the influence of their situation (see also Fundamental attribution error), and for explanations of one's own behaviors to do the opposite (that is, to overemphasize the influence of our situation and underemphasize the influence of our own personality)."
Social,Authority bias,Association fallacy,The tendency to attribute greater accuracy to the opinion of an authority figure (unrelated to its content) and be more influenced by that opinion.
Social,Availability cascade,Conformity bias,"A self-reinforcing process in which a collective belief gains more and more plausibility through its increasing repetition in public discourse (or ""repeat something long enough and it will become true"")."
Social,Bandwagon effect,Conformity bias,The tendency to do (or believe) things because many other people do (or believe) the same. Related to groupthink and herd behavior.
Social,Ben Franklin effect,Cognitive dissonance,A person who has performed a favor for someone is more likely to do another favor for that person than they would be if they had received a favor from that person.
Social,Bias blind spot,Egocentric bias,"The tendency to see oneself as less biased than other people, or to be able to identify more cognitive biases in others than in oneself."
Social,Cheerleader effect,Association fallacy,The tendency for people to appear more attractive in a group than in isolation.
Social,Courtesy bias,Conformity bias,"The tendency to give an opinion that is more socially correct than one's true opinion, so as to avoid offending anyone."
Social,Defensive attribution hypothesis,Attribution bias,Attributing more blame to a harm-doer as the outcome becomes more severe or as personal or situational similarity to the victim increases.
Social,Defensive othering effect,Attribution bias,"Occurs when perceived similarities with the stigmatized group trigger a protective behavior of distancing (othering) self (or someone else) from ""others"" as a means to avoid a certain negative outcome associated with ""others."
Social,Egocentric bias,Egocentric bias,Occurs when people claim more responsibility for themselves for the results of a joint action than an outside observer would credit them with.
Social,Extrinsic incentives bias,Attribution bias,"An exception to the fundamental attribution error, when people view others as having (situational) extrinsic motivations and (dispositional) intrinsic motivations for oneself"
Social,False consensus effect,Egocentric bias,The tendency for people to overestimate the degree to which others agree with them.
Social,False uniqueness bias,Egocentric bias,The tendency of people to see their projects and themselves as more singular than they actually are.
Social,Fundamental attribution error,Attribution bias,The tendency for people to over-emphasize personality-based explanations for behaviors observed in others while under-emphasizing the role and power of situational influences on the same behavior.
Social,Group attribution error,,"The biased belief that the characteristics of an individual group member are reflective of the group as a whole or the tendency to assume that group decision outcomes reflect the preferences of group members, even when information is available that clearly suggests otherwise."
Social,Groupthink,Conformity bias,"The psychological phenomenon that occurs within a group of people in which the desire for harmony or conformity in the group results in an irrational or dysfunctional decision-making outcome. Group members try to minimize conflict and reach a consensus decision without critical evaluation of alternative viewpoints by actively suppressing dissenting viewpoints, and by isolating themselves from outside influences."
Social,Halo effect,Association fallacy,"The tendency for a person's positive or negative traits to ""spill over"" from one personality area to another in others' perceptions of them (see also physical attractiveness stereotype)."
Social,Hostile attribution bias,Attribution bias,"The ""hostile attribution bias"" is the tendency to interpret others' behaviors as having hostile intent, even when the behavior is ambiguous or benign."
Social,Illusion of asymmetric insight,Egocentric bias,People perceive their knowledge of their peers to surpass their peers' knowledge of them.
Social,Illusion of transparency,Egocentric bias,"The tendency for people to overestimate the degree to which their personal mental state is known by others, and to overestimate how well they understand others' personal mental states."
Social,Illusory superiority,Egocentric bias,"Overestimating one's desirable qualities, and underestimating undesirable qualities, relative to other people. (Also known as ""Lake Wobegon effect"", ""better-than-average effect"", or ""superiority bias"".)"
Social,Ingroup bias,Ingroup bias,The tendency for people to give preferential treatment to others they perceive to be members of their own groups.
Social,Intentionality bias,Attribution bias,Tendency to judge human action to be intentional rather than accidental.
Social,Just-world hypothesis,Attribution bias,"The tendency for people to want to believe that the world is fundamentally just, causing them to rationalize an otherwise inexplicable injustice as deserved by the victim(s)."
Social,Moral luck,Attribution bias,The tendency for people to ascribe greater or lesser moral standing based on the outcome of an event.
Social,Naïve cynicism,Egocentric bias,Expecting more egocentric bias in others than in oneself.
Social,Naïve realism,Egocentric bias,"The belief that we see reality as it really is – objectively and without bias; that the facts are plain for all to see; that rational people will agree with us; and that those who don't are either uninformed, lazy, irrational, or biased."
Social,Not invented here,Ingroup bias,"Aversion to contact with or use of products, research, standards, or knowledge developed outside a group. Related to IKEA effect."
Social,Outgroup homogeneity bias,Ingroup bias,Individuals see members of their own group as being relatively more varied than members of other groups.
Social,Puritanical bias,Attribution bias,Refers to the tendency to attribute cause of an undesirable outcome or wrongdoing by an individual to a moral deficiency or lack of self-control rather than taking into account the impact of broader societal determinants .
Social,Pygmalion effect,,The phenomenon whereby others' expectations of a target person affect the target person's performance.
Social,Reactance,,The urge to do the opposite of what someone wants you to do out of a need to resist a perceived attempt to constrain your freedom of choice (see also Reverse psychology).
Social,Reactive devaluation,,Devaluing proposals only because they purportedly originated with an adversary.
Social,Self-serving bias,Attribution bias,The tendency to claim more responsibility for successes than failures. It may also manifest itself as a tendency for people to evaluate ambiguous information in a way beneficial to their interests (see also group-serving bias).
Social,Sexual overperception bias / Sexual underperception bias,False priors,The tendency to over-/underestimate sexual interest of another person in oneself.
Social,Social comparison bias,,"The tendency, when making decisions, to favour potential candidates who don't compete with one's own particular strengths."
Social,Social desirability bias,Conformity bias,The tendency to over-report socially desirable characteristics or behaviours in oneself and under-report socially undesirable characteristics or behaviours.
Social,Shared information bias,,"Known as the tendency for group members to spend more time and energy discussing information that all members are already familiar with (i.e., shared information), and less time and energy discussing information that only some members are aware of (i.e., unshared information)."
Social,Trait ascription bias,Egocentric bias,"The tendency for people to view themselves as relatively variable in terms of personality, behavior, and mood while viewing others as much more predictable."
Social,Third-person effect,Egocentric bias,A tendency to believe that mass communicated media messages have a greater effect on others than on themselves.
Social,Ultimate attribution error,Attribution bias,"Similar to the fundamental attribution error, in this error a person is likely to make an internal attribution to an entire group instead of the individuals within the group."
Social,Worse-than-average effect,,A tendency to believe ourselves to be worse than others at tasks which are difficult.
Social,Social cryptomnesia,,"A failure by people and society in general to remember the origin of a change, in which people know that a change has occurred in society, but forget how this change occurred; that is, the steps that were taken to bring this change about, and who took these steps. This has lead to reduced social credit towards the minorities who made major sacrifices that led to the change in societal values.[123]"
Memory,Bizarreness effect,,Bizarre material is better remembered than common material.
Memory,Choice-supportive bias,,The tendency to remember one's choices as better than they actually were.
Memory,Conservatism or Regressive bias,,"Tendency to remember high values and high likelihoods/probabilities/frequencies as lower than they actually were and low ones as higher than they actually were. Based on the evidence, memories are not extreme enough."
Memory,Consistency bias,,Incorrectly remembering one's past attitudes and behaviour as resembling present attitudes and behaviour.
Memory,Context effect,,"That cognition and memory are dependent on context, such that out-of-context memories are more difficult to retrieve than in-context memories (e.g., recall time and accuracy for a work-related memory will be lower at home, and vice versa)."
Memory,Cross-race effect,,The tendency for people of one race to have difficulty identifying members of a race other than their own.
Memory,Cryptomnesia,,"A form of misattribution where a memory is mistaken for imagination, because there is no subjective experience of it being a memory."
Memory,Egocentric bias,,"Recalling the past in a self-serving manner, e.g., remembering one's exam grades as being better than they were, or remembering a caught fish as bigger than it really was."
Memory,Fading affect bias,,A bias in which the emotion associated with unpleasant memories fades more quickly than the emotion associated with positive events.
Memory,False memory,,A form of misattribution where imagination is mistaken for a memory.
Memory,Generation effect (Self-generation effect),,"That self-generated information is remembered best. For instance, people are better able to recall memories of statements that they have generated than similar statements generated by others."
Memory,Google effect,,The tendency to forget information that can be found readily online by using Internet search engines.
Memory,Humor effect,,"That humorous items are more easily remembered than non-humorous ones, which might be explained by the distinctiveness of humor, the increased cognitive processing time to understand the humor, or the emotional arousal caused by the humor."
Memory,Lag effect,,"The phenomenon whereby learning is greater when studying is spread out over time, as opposed to studying the same amount of time in a single session. See also spacing effect."
Memory,Leveling and sharpening,,"Memory distortions introduced by the loss of details in a recollection over time, often concurrent with sharpening or selective recollection of certain details that take on exaggerated significance in relation to the details or aspects of the experience lost through leveling. Both biases may be reinforced over time, and by repeated recollection or re-telling of a memory."
Memory,Levels-of-processing effect,,That different methods of encoding information into memory have different levels of effectiveness.
Memory,List-length effect,,"A smaller percentage of items are remembered in a longer list, but as the length of the list increases, the absolute number of items remembered increases as well. For example, consider a list of 30 items (""L30"") and a list of 100 items (""L100""). An individual may remember 15 items from L30, or 50%, whereas the individual may remember 40 items from L100, or 40%. Although the percent of L30 items remembered (50%) is greater than the percent of L100 (40%), more L100 items (40) are remembered than L30 items (15).[136][further explanation needed]"
Memory,Misinformation effect,,Memory becoming less accurate because of interference from post-event information.
Memory,Modality effect,,That memory recall is higher for the last items of a list when the list items were received via speech than when they were received through writing.
Memory,Mood-congruent memory bias,,The improved recall of information congruent with one's current mood.
Memory,Negativity bias or Negativity effect,,Psychological phenomenon by which humans have a greater recall of unpleasant memories compared with positive memories.
Memory,Next-in-line effect,,"When taking turns speaking in a group using a predetermined order (e.g. going clockwise around a room, taking numbers, etc.) people tend to have diminished recall for the words of the person who spoke immediately before them."
Memory,Part-list cueing effect,,That being shown some items from a list and later retrieving one item causes it to become harder to retrieve the other items.
Memory,Peak–end rule,,"That people seem to perceive not the sum of an experience but the average of how it was at its peak (e.g., pleasant or unpleasant) and how it ended."
Memory,Picture superiority effect,,The notion that concepts that are learned by viewing pictures are more easily and frequently recalled than are concepts that are learned by viewing their written word form counterparts.
Memory,Positivity effect (Socioemotional selectivity theory),,That older adults favor positive over negative information in their memories.
Memory,Serial position effect,,"That items near the end of a sequence are the easiest to recall, followed by the items at the beginning of a sequence; items in the middle are the least likely to be remembered."
Memory,Processing difficulty effect,,That information that takes longer to read and is thought about more (processed with more difficulty) is more easily remembered.
Memory,Reminiscence bump,,The recalling of more personal events from adolescence and early adulthood than personal events from other lifetime periods.
Memory,Self-relevance effect,,That memories relating to the self are better recalled than similar information relating to others.
Memory,Source confusion,,"Confusing episodic memories with other information, creating distorted memories."
Memory,Spacing effect,,That information is better recalled if exposure to it is repeated over a long span of time rather than a short one.
Memory,Spotlight effect,,The tendency to overestimate the amount that other people notice your appearance or behavior.
Memory,Stereotypical bias,,"Memory distorted towards stereotypes (e.g., racial or gender)."
Memory,Suffix effect,,Diminishment of the recency effect because a sound item is appended to the list that the subject is not required to recall.
Memory,Suggestibility,,A form of misattribution where ideas suggested by a questioner are mistaken for memory.
Memory,Tachypsychia,,"When time perceived by the individual either lengthens, making events appear to slow down, or contracts."
Memory,Telescoping effect,,"The tendency to displace recent events backwards in time and remote events forward in time, so that recent events appear more remote, and remote events, more recent."
Memory,Testing effect,,The fact that you more easily remember information you have read by rewriting it instead of rereading it.
